id,name,relationship,relative,relativename
Q15665420,Anne Malecela,spouse,Q744271,John Malecela
Q320156,Benjamin Mkapa,spouse,Q16732702,Anna Mkapa
Q454382,Amani Abeid Karume,child,Q61082254,Fatma Karume
Q454382,Amani Abeid Karume,father,Q318310,Abeid Karume
Q5018756,John Magufuli,child,Q106009354,Jesca Magufuli
Q5018756,John Magufuli,child,Q106009406,Joseph Magufuli
Q5018756,John Magufuli,sibling,Q106009418,Monica Joseph Magufuli
Q5018756,John Magufuli,spouse,Q21590480,Janeth Magufuli
Q57488,Jakaya Mrisho Kikwete,spouse,Q7405361,Salma Kikwete
Q7405361,Salma Kikwete,spouse,Q57488,Jakaya Mrisho Kikwete
