id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q7241291,President of Tanzania,Q924,Q924,Q19057636,Q695619,1964-10-29,,Q95992459,,President of Tanzania
Q16147875,Prime Minister of Tanzania,Q924,Q924,,,1972,,,,Prime Minister of Tanzania
Q19057636,Vice President of Tanzania,Q924,Q924,,,1964,,,,
Q54087175,Minister of Agriculture,Q924,Q924,,,2017-10,,,,
Q110178688,"Minister of Communication, Science and Technology",,Q924,,,,,,,
Q110620468,Minister of Community Development and Gender,Q924,Q924,,,,,,,
Q60688958,Minister of Constitutional and Legal Affairs,Q924,Q924,,,2015-11-05,,,,
Q54087616,Minister of Defence of Tanzania,Q924,Q924,,,,,,,
Q60690257,"Minister of Education, Science, Technology and Vocational Training",Q924,Q924,,,2015,,,,
Q60076275,Minister of Energy,Q924,Q924,,,2017-10-07,,,,
Q110178866,Minister of Energy and Minerals,,Q924,,,,,,,
Q16147337,Minister of Finance,Q924,Q924,,,,,,,Minister of Finance (Tanzania)
Q16147348,Minister of Foreign Affairs,Q924,Q924,,,,,,,Minister of Foreign Affairs (Tanzania)
Q54087259,Minister of Health,Q924,Q924,,,2015,,,,
Q16147126,Minister of Home Affairs,Q924,Q924,,,,,,,Minister of Home Affairs (Tanzania)
Q16151574,Minister of Industry and Trade,Q924,Q924,,,,,Q67284358,Q67284358,Minister of Industry and Trade (Tanzania)
Q67284358,"Minister of Industry, Trade and Investment",Q924,Q924,,,,,Q16151574,Q16151574,
Q67203620,"Minister of Information, Culture, Arts and Sports",Q924,Q924,,,2006,,,,
Q54087695,Minister of Internal Affairs of Tanzania,,Q924,,,,,,,
Q110178353,Minister of Investment,Q924,Q924,,,,,,,
Q67203615,"Minister of Lands, Housing and Human Settlements Developments",,Q924,,,,,,,
Q110177753,Minister of Livestock and Fisheries,,Q924,,,,,,,
Q67203604,Minister of Minerals,Q924,Q924,,,,,,,
Q67203591,Minister of Natural Resources and Tourism,,Q924,,,,,,,
Q16147179,Minister of Water and Irrigation,Q924,Q924,,,,,,,Minister of Water and Irrigation
Q59694390,"Minister of Works, Transport and Communications",Q924,Q924,,,,,,,
Q19850408,Attorney General of Tanzania,Q924,Q924,,,1964,,,,Attorney General of Tanzania
Q6597954,Speaker of the National Assembly of Tanzania,,,,,,,,,List of speakers of the National Assembly of Tanzania
Q3503632,President of Zanzibar,Q924,Q1774,,,1964-01-12,,,,President of Zanzibar
Q110179307,Governor of the Bank of Tanzania,Q924,,,,,,,,
Q110179391,Chief of Defence Force of Tanzania,,,,,,,,,
