name,wdid,pid,position
Samia Suluhu,Q16193885,Q7241291,President
Philip Mpango,Q22279305,Q3380702,Vice President
Hussein Mwinyi,Q5018704,Q3503632,President
Kassim Majaliwa,Q6737420,Q16147875,Prime Minister
George Mkuchika,Q4985236,Q2632935,Ministers of State
Jenista Mhagama,Q11978376,Q2632935,Ministers of State
Innocent Bashungwa,Q30090589,Q2632935,Ministers of State
Selemani Jafo,Q16214458,,Minister of State in the Vice President's Office Union Affairs and Environment
Joyce Ndalichako,Q22279375,,"Minister of State in the Prime Minister's Office Policy, Parliamentary Affairs, Labour, Employment, Youth and the Disabled"
George Simbachawene,Q11045555,,"Minister of State in the Prime Minister's Office Policy, Parliamentary Affairs, Labour, Employment, Youth and the Disabled"
Hussein Bashe,Q30090584,Q6866604,Minister of Agriculture
Mashimba Ndaki,Q31752975,Q6866604,Minister of Livestock and Fisheries
Damas Ndumbaro,Q16873167,Q14866848,Minister of Constitutional Affairs and Justice
Stergomena Tax,Q16193890,Q14866765,Minister of Defence and National Service
Adolf Mkenda,Q101649229,Q6866868,"Minister of Education, Science, Technology and Vocational Training"
January Makamba,Q1612942,Q11219003,Minister of Energy
Doto Biteko,Q30090598,Q11219003,Minister of Minerals
Mwigulu Nchemba,Q31752753,Q16147337,Minister of Finance and Planning
Liberata Mulamula,Q16732979,Q16147348,"Minister of Foreign Affairs, E.A.C., Regional and International Cooperation"
Ummy Mwalimu,Q7881722,Q6867121,"Minister of Health, Seniors and Children"
Dorothy Gwajima,Q106234674,Q6867121,Minister of Community Development & Gender
Hamad Masauni,Q16214437,Q16147126,Minister of Home Affairs
Ashatu Kijaji,Q27656841,Q16151574,"Minister of Industry, Trade & Investment"
Mohamed Mchengerwa,Q31752864,Q6867194,"Minister of Culture, Artists and Sports"
Angeline Mabula,Q27469212,Q14866850,"Minister of Lands, Housing and Human Settlements"
Pindi Chana,Q5687576,Q10970174,Minister of Natural Resources and Tourism
Makame Mbarawa,Q6738666,Q14866868,Minister of Works and Transport
Jumaa Aweso,Q30090592,Q16147179,Minister of Water and Irrigation
Nape Nnauye,Q16733431,Q13125253,"Minister of News, Communication & ICT"
Eliezer Feleshi,Q110178914,Q19850408,Attorney General
